record_seq,record_wall_time_iso,record_wall_time_float,record_ros_time,record_dt_since_start,record_period,state_received,control_received,state_msg_ros_time,state_msg_wall_time,state_msg_age_ros,state_msg_age_wall,control_msg_ros_time,control_msg_wall_time,control_msg_age_ros,control_msg_age_wall,header_seq,header_stamp,header_frame_id,child_frame_id,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w,euler_roll,euler_pitch,euler_yaw,vel_linear_x,vel_linear_y,vel_linear_z,vel_angular_x,vel_angular_y,vel_angular_z,acc_linear_x,acc_linear_y,acc_linear_z,acc_angular_x,acc_angular_y,acc_angular_z,lateral_steering_angle,lateral_steering_angle_velocity,lateral_rear_wheel_angle,lateral_rear_wheel_angle_velocity,wheel_speed_left_front,wheel_speed_left_rear,wheel_speed_right_front,wheel_speed_right_rear,gear,control_mode,hand_brake,emergency,clutch,steering_mode,throttle_fb,brake_fb,tracking_lateral_tracking_error,tracking_heading_angle_error,tracking_velocity_error,trailer_pose_position_x,trailer_pose_position_y,trailer_pose_position_z,trailer_pose_orientation_x,trailer_pose_orientation_y,trailer_pose_orientation_z,trailer_pose_orientation_w,trailer_euler_roll,trailer_euler_pitch,trailer_euler_yaw,trailer_vel_linear_x,trailer_vel_linear_y,trailer_vel_linear_z,trailer_vel_angular_x,trailer_vel_angular_y,trailer_vel_angular_z,trailer_acc_linear_x,trailer_acc_linear_y,trailer_acc_linear_z,trailer_acc_angular_x,trailer_acc_angular_y,trailer_acc_angular_z,ltr_state_ltr,ltr_state_ltr_rate,control_header_seq,control_header_stamp,control_header_frame_id,control_longitudinal_velocity,control_longitudinal_acceleration,control_longitudinal_jerk,control_lateral_steering_angle,control_lateral_steering_angle_velocity,control_lateral_rear_wheel_angle,control_lateral_rear_wheel_angle_velocity,control_throttle,control_brake,control_gear,control_control_mode,control_emergency,control_hand_brake,control_clutch,control_steering_mode
0,2026-03-28 22:34:35.776615,1774708475.7766309,1774708475.776635,0.08270049095153809,0.05,1,1,1774708475.78202,1774708475.7718978,-0.005385160446166992,0.004733085632324219,1774708475.7289522,1774708475.7540784,0.047682762145996094,0.022552490234375,123181,1774708475.78202,ego_vehicle/odometry,ego_vehicle,4.7146406161519865,1.1165783176903248,0.19121453166007996,0.058979853650091306,-0.03514418749269212,-0.9973377279273067,0.024570702100061945,0.0735613778233528,0.11617981642484665,-3.088050127029419,-0.00040435791015625,0.0,0.0,0.0004420237382873893,0.0009749212767928839,0.0003398156841285527,-0.1407468616962433,0.27886953949928284,9.785524368286133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.091552734375,-0.091552734375,-0.091552734375,-0.091552734375,1,0,0,0,1,1,0.0,0.0,0.02380521393941428,0.0687308347257094,1.5004043579101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,0.001,-0.001,-0.0,0.16,0.29,10.01,0.0,0.0,0.0,-0.00046125680091790855,-0.0010917582549154758,23079,1774708475.7289522,ego_vehicle,1.5,30.49801582516955,0.0,-0.1978380037772107,0.0,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,2
1,2026-03-28 22:34:35.826574,1774708475.826588,1774708475.8265927,0.13265752792358398,0.05,1,1,1774708475.8316534,1774708475.8187685,-0.005060672760009766,0.007819414138793945,1774708475.7789762,1774708475.8021064,0.04761648178100586,0.024481534957885742,123186,1774708475.8316534,ego_vehicle/odometry,ego_vehicle,4.716117690759714,1.1134235031391908,0.20240938663482666,0.05888400860327103,-0.035121215953231706,-0.9973457665297033,0.02450705421005937,0.07350177317857744,0.11599393188953402,-3.088188409805298,0.00040435791015625,0.0,0.0,0.004982671234756708,-0.001416048500686884,-0.0017934683710336685,-0.12146978080272675,0.24345818161964417,9.738092422485352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091552734375,0.091552734375,0.091552734375,0.091552734375,1,0,0,0,1,1,0.0,0.0,0.02270857671755616,0.06863355994543596,1.4995956420898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,0.001,-0.0,0.12,0.2,9.96,0.0,0.0,0.0,-0.00046993434079922736,8.107362373266369e-05,23080,1774708475.7789762,ego_vehicle,1.5,29.97756557891081,0.0,-0.1970964091012473,0.0,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,2
2,2026-03-28 22:34:35.876550,1774708475.8765645,1774708475.8765686,0.1826341152191162,0.05,1,1,1774708475.8713598,1774708475.868696,0.005208730697631836,0.007868528366088867,1774708475.8289866,1774708475.8520505,0.04758191108703613,0.024513959884643555,123191,1774708475.8713598,ego_vehicle/odometry,ego_vehicle,4.71559059969347,1.1150043896798367,0.19424547255039215,0.05894410134212166,-0.03505784990473356,-0.9973431801700535,0.02455852286500709,0.0733841210603714,0.11611379683017732,-3.088087558746338,0.0,0.0,0.0,-0.0008898398373275995,0.0012386703165248036,7.170435128500685e-05,-0.14015835523605347,0.3010648488998413,9.782506942749023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0.0,0.019190944353920904,0.0685322320493178,1.5004043579101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,0.0,-0.0,0.15,0.3,10.03,0.0,0.0,0.0,-0.00044789916137233377,0.0005330026615411043,23081,1774708475.8289866,ego_vehicle,1.5,29.985660831513503,0.0,-0.19765754212825573,0.0,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,2
3,2026-03-28 22:34:35.926574,1774708475.9265914,1774708475.9265962,0.23266100883483887,0.05,1,1,1774708475.9209948,1774708475.9187944,0.005601406097412109,0.0077970027923583984,1774708475.878939,1774708475.9040658,0.04765725135803223,0.022525548934936523,123196,1774708475.9209948,ego_vehicle/odometry,ego_vehicle,4.720050628747406,1.1103324723718968,0.23008599877357483,0.058950837505153744,-0.03500988529554684,-0.9973434427824125,0.02460007780391167,0.07329294830560684,0.11612679809331893,-3.0880091190338135,0.0,0.0,0.0,0.006586899980902672,-0.001420683809556067,-0.003397026564925909,-0.1418614238500595,0.21769174933433533,9.719451904296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0.0,0.020733449105306535,0.06863308310827776,1.4995956420898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,0.002,0.0,-0.0,0.12,0.22,10.01,0.0,0.0,0.0,-0.0008161244913935661,-0.0032172654755413532,23082,1774708475.878939,ego_vehicle,1.5,30.02052660652662,0.0,-0.19719521736167175,0.0,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,2
4,2026-03-28 22:34:35.976565,1774708475.976587,1774708475.9765913,0.2826566696166992,0.05,1,1,1774708475.9805555,1774708475.968651,-0.00396418571472168,0.00793600082397461,1774708475.9289737,1774708475.9598393,0.04761767387390137,0.016747713088989258,123201,1774708475.9805555,ego_vehicle/odometry,ego_vehicle,4.719313579671504,1.1126617047383933,0.21788568794727325,0.0590091268986847,-0.03495603399370249,-0.9973412439371072,0.02462603849728293,0.07319135218858719,0.11624443531036374,-3.087958574295044,0.0,0.0,0.0,-0.0011625101324170828,0.0004507311386987567,0.0022120019420981407,-0.11311031877994537,0.3303825855255127,9.763336181640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0.0,0.017625925054088016,0.06871152282080217,1.5004043579101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,0.001,-0.001,-0.001,0.14,0.34,10.09,0.0,0.0,0.0,-0.0005202570464462042,-0.0008498719544149935,23083,1774708475.9289737,ego_vehicle,1.5,29.97914770402299,0.0,-0.19800237064467965,0.0,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,2
5,2026-03-28 22:34:36.026547,1774708476.0265641,1774708476.0265682,0.33263373374938965,0.05,1,1,1774708476.0004106,1774708476.0187507,0.026157617568969727,0.007813453674316406,1774708475.9790566,1774708476.0066907,0.04751157760620117,0.019873380661010742,123206,1774708476.0004106,ego_vehicle/odometry,ego_vehicle,4.721290416850935,1.1050071791389102,0.25606828927993774,0.05894492709081497,-0.035040282400491216,-0.9973427711544599,0.024598191102087812,0.07335347682237625,0.11611347645521165,-3.088009834289551,-0.00040435791015625,0.0,0.0,0.004185644909739494,-0.0014165017055347562,-0.002860281616449356,-0.16346988081932068,0.22487318515777588,9.726675987243652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.091552734375,-0.091552734375,-0.091552734375,-0.091552734375,1,0,0,0,1,1,0.0,0.0,0.018409043042293745,0.0687620675595717,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,0.0,-0.0,0.12,0.2,9.97,0.0,0.0,0.0,-0.000403044541599229,0.0005725841037929058,23084,1774708475.9790566,ego_vehicle,1.5,29.950299873384107,0.0,-0.198407274824811,0.0,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,2
6,2026-03-28 22:34:36.076591,1774708476.0766127,1774708476.0766165,0.38268232345581055,0.05,1,1,1774708476.0004106,1774708476.0689723,0.07620596885681152,0.007640361785888672,1774708476.0289602,1774708476.0489976,0.04765629768371582,0.027615070343017578,123211,1774708476.0004106,ego_vehicle/odometry,ego_vehicle,4.721290416850935,1.1050071791389102,0.25606828927993774,0.05894492709081497,-0.035040282400491216,-0.9973427711544599,0.024598191102087812,0.07335347682237625,0.11611347645521165,-3.088009834289551,-0.00040435791015625,0.0,0.0,-0.0022275145165622234,0.001503939158283174,0.002204401418566704,-0.09573010355234146,0.3100547194480896,9.765085220336914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.091552734375,-0.091552734375,-0.091552734375,-0.091552734375,1,0,0,0,1,1,0.0,0.0,0.01080080396537251,0.06871080756506487,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,0.0,-0.0,0.15,0.34,10.08,0.0,0.0,0.0,-0.00041027364204637706,0.0005915534566156566,23085,1774708476.0289602,ego_vehicle,1.5,30.049845337626376,0.0,-0.1982350781252325,0.0,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,2
7,2026-03-28 22:34:36.128381,1774708476.128393,1774708476.1283972,0.4344625473022461,0.05,1,1,1774708476.0897563,1774708476.1219695,0.03864097595214844,0.006423473358154297,1774708476.0789895,1774708476.1055558,0.0494077205657959,0.022837162017822266,123216,1774708476.0897563,ego_vehicle/odometry,ego_vehicle,4.718477855604253,1.1075132575654347,0.23380498588085175,0.05886344565728357,-0.03520601391253821,-0.997344318677163,0.024493700253894773,0.07366943359375001,0.11594922840595247,-3.0882070064544678,0.00040435791015625,0.0,0.0,0.0049856482073664665,-0.002473900094628334,-0.002856088802218437,-0.15147575736045837,0.25842076539993286,9.74412727355957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091552734375,0.091552734375,0.091552734375,0.091552734375,1,0,0,0,1,1,0.0,0.0,0.013322836806901014,0.06851363540014788,1.4995956420898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,0.001,0.0,-0.001,0.12,0.19,9.94,0.0,0.0,0.0,-0.0004178323142696172,-0.00033219886245206,23086,1774708476.0789895,ego_vehicle,1.5,29.97442156783518,0.0,-0.199058203632913,0.0,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,2
8,2026-03-28 22:34:36.176607,1774708476.1766357,1774708476.1766403,0.48270535469055176,0.05,1,1,1774708476.1393888,1774708476.1686962,0.03725147247314453,0.007939577102661133,1774708476.1289716,1774708476.161012,0.0476686954498291,0.015623807907104492,123221,1774708476.1393888,ego_vehicle/odometry,ego_vehicle,4.718154880547458,1.1099924140329565,0.22420553863048553,0.05881055210981427,-0.03527747424374992,-0.997345208376512,0.024481709497751195,0.073808416724205,0.11584044247865675,-3.0882270336151123,0.00040435791015625,0.0,0.0,-9.68395615927875e-05,0.0017734840512275696,0.001940885791555047,-0.13952447474002838,0.2842516303062439,9.765108108520508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091552734375,0.091552734375,0.091552734375,0.091552734375,1,0,0,0,1,1,0.0,0.0,0.015802789481575496,0.06849360823950335,1.5008087158203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,-0.001,-0.0,0.16,0.31,9.97,0.0,0.0,0.0,-0.00023503067495767027,0.0015326326247304678,23087,1774708476.1289716,ego_vehicle,1.5,30.010740844148117,0.0,-0.1984746585601179,0.0,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,2
9,2026-03-28 22:34:36.226573,1774708476.2265909,1774708476.2265954,0.5326604843139648,0.05,1,1,1774708476.1890213,1774708476.2187557,0.037574052810668945,0.007835149765014648,1774708476.182773,1774708476.2104723,0.043822288513183594,0.016118526458740234,123226,1774708476.1890213,ego_vehicle/odometry,ego_vehicle,4.717758223254773,1.112488572565315,0.21446603536605835,0.05887515598131732,-0.03527076546427399,-0.9973406504697637,0.024521746110103916,0.07380362600088121,0.11596712470054626,-3.088142156600952,-0.00040435791015625,0.0,0.0,0.004984218627214432,-0.0011547115864232183,-0.0020636010449379683,-0.1305214911699295,0.2686731815338135,9.765098571777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.091552734375,-0.091552734375,-0.091552734375,-0.091552734375,1,0,0,0,1,1,0.0,0.0,0.01826722462663838,0.0685784852536635,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,0.0,-0.001,0.12,0.2,9.96,0.0,0.0,0.0,-0.00037449519732035697,0.0006022705347277224,23088,1774708476.182773,ego_vehicle,1.5,27.88025008807371,0.0,-0.19726598353919217,0.0,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,2
