record_seq,record_wall_time_iso,record_wall_time_float,record_ros_time,record_dt_since_start,record_period,state_received,control_received,state_msg_ros_time,state_msg_wall_time,state_msg_age_ros,state_msg_age_wall,control_msg_ros_time,control_msg_wall_time,control_msg_age_ros,control_msg_age_wall,header_seq,header_stamp,header_frame_id,child_frame_id,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w,euler_roll,euler_pitch,euler_yaw,vel_linear_x,vel_linear_y,vel_linear_z,vel_angular_x,vel_angular_y,vel_angular_z,acc_linear_x,acc_linear_y,acc_linear_z,acc_angular_x,acc_angular_y,acc_angular_z,lateral_steering_angle,lateral_steering_angle_velocity,lateral_rear_wheel_angle,lateral_rear_wheel_angle_velocity,wheel_speed_left_front,wheel_speed_left_rear,wheel_speed_right_front,wheel_speed_right_rear,gear,control_mode,hand_brake,emergency,clutch,steering_mode,throttle_fb,brake_fb,tracking_lateral_tracking_error,tracking_heading_angle_error,tracking_velocity_error,trailer_pose_position_x,trailer_pose_position_y,trailer_pose_position_z,trailer_pose_orientation_x,trailer_pose_orientation_y,trailer_pose_orientation_z,trailer_pose_orientation_w,trailer_euler_roll,trailer_euler_pitch,trailer_euler_yaw,trailer_vel_linear_x,trailer_vel_linear_y,trailer_vel_linear_z,trailer_vel_angular_x,trailer_vel_angular_y,trailer_vel_angular_z,trailer_acc_linear_x,trailer_acc_linear_y,trailer_acc_linear_z,trailer_acc_angular_x,trailer_acc_angular_y,trailer_acc_angular_z,ltr_state_ltr,ltr_state_ltr_rate,control_header_seq,control_header_stamp,control_header_frame_id,control_longitudinal_velocity,control_longitudinal_acceleration,control_longitudinal_jerk,control_lateral_steering_angle,control_lateral_steering_angle_velocity,control_lateral_rear_wheel_angle,control_lateral_rear_wheel_angle_velocity,control_throttle,control_brake,control_gear,control_control_mode,control_emergency,control_hand_brake,control_clutch,control_steering_mode
0,2026-03-28 22:18:20.266430,1774707500.2664452,1774707500.2664497,0.07636737823486328,0.05,0,0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1,2026-03-28 22:18:20.307882,1774707500.307896,1774707500.3079,0.11781811714172363,0.05,1,0,1774707500.309673,1774707500.2978542,-0.0017731189727783203,0.01004171371459961,0.0,0.0,-1.0,-1.0,25644,1774707500.309673,ego_vehicle/odometry,ego_vehicle,5.909604551017068,1.0155317132766897,0.4134231507778168,-0.06335618819923768,0.031643532538873906,0.9974473586510102,0.009134932153408375,0.06251432001590729,0.12731067836284637,3.127262592315674,0.00040435791015625,0.0,0.0,-0.001239901059307158,0.002522708848118782,0.002388713415712118,-0.24874788522720337,0.27590471506118774,9.777578353881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0.0,-0.040747062207377845,0.00030550146097851894,1.4995956420898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,0.0,-0.0,0.08,0.11,9.98,0.0,0.0,0.0,2.6902509489445947e-05,0.0013291138457134366,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2,2026-03-28 22:18:20.358045,1774707500.3580642,1774707500.3580678,0.16798639297485352,0.05,1,1,1774707500.319609,1774707500.3481476,0.038458824157714844,0.009916543960571289,1774707500.3368099,1774707500.355075,0.021257877349853516,0.0029892921447753906,25649,1774707500.319609,ego_vehicle/odometry,ego_vehicle,5.909080111059367,1.0156715928776516,0.4090389013290405,-0.06336028476003938,0.031624169468027735,0.9974478084104269,0.009124457124700808,0.06247665360569955,0.12731795012950897,3.127281427383423,-0.00040435791015625,0.0,0.0,0.004645301960408688,-0.001999208005145192,-0.0021489369682967663,-0.2661193013191223,0.21234892308712006,9.763162612915039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.091552734375,-0.091552734375,-0.091552734375,-0.091552734375,1,0,0,0,1,1,0.0,0.0,-0.0406204881158463,0.00024327421183301112,1.5004043579101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,0.0,-0.001,0.1,0.19,10.02,0.0,0.0,0.0,1.5132661246752832e-05,0.0007462670328095555,4561,1774707500.3368099,ego_vehicle,1.5,28.03604950007518,0.0,-0.008289234338894325,0.0,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,2
3,2026-03-28 22:18:20.409570,1774707500.409724,1774707500.4097502,0.21964621543884277,0.05,1,1,1774707500.3990982,1774707500.4083645,0.01065206527709961,0.0013594627380371094,1774707500.3805103,1774707500.39861,0.029239892959594727,0.011113882064819336,25655,1774707500.3990982,ego_vehicle/odometry,ego_vehicle,5.904740873468551,1.0169158518974764,0.3736531734466553,-0.06341957880129531,0.03166351250789319,0.9974427318535674,0.009131028026540533,0.06255463510751724,0.12743769586086273,3.12727689743042,0.0,0.0,0.0,-0.002571603748947382,0.003054889850318432,0.0013230112381279469,-0.24754293262958527,0.27770277857780457,9.771570205688477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0.0,-0.03943821702442208,0.0003298201560468783,1.4995956420898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,0.0,0.001,0.07,0.11,9.98,0.0,0.0,0.0,-0.00013128672435414046,-0.00030829792376607656,4562,1774707500.3805103,ego_vehicle,1.5,34.315371724583414,0.0,-0.008128736967234835,0.0,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,2
4,2026-03-28 22:18:20.458128,1774707500.4581425,1774707500.4581456,0.2680647373199463,0.05,1,1,1774707500.4487796,1774707500.4579809,0.009366035461425781,0.00016164779663085938,1774707500.3805103,1774707500.39861,0.07763528823852539,0.05953240394592285,25660,1774707500.4487796,ego_vehicle/odometry,ego_vehicle,5.90188984361809,1.0176911892633462,0.35119277238845825,-0.06349348399776517,0.03157255396039035,0.9974409242634747,0.009129837384586939,0.062371190637350075,0.12758435308933258,3.127272129058838,-0.00040435791015625,0.0,0.0,0.005711212754249573,-0.0027956643607467413,-0.0013486831448972225,-0.258883535861969,0.19614213705062866,9.740947723388672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.091552734375,-0.091552734375,-0.091552734375,-0.091552734375,1,0,0,0,1,1,0.0,0.0,-0.038703065793933705,0.00023397588724805019,1.5004043579101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,0.001,0.001,-0.0,0.1,0.22,9.99,0.0,0.0,0.0,-0.00011657361756078899,-0.0005699591711163521,4562,1774707500.3805103,ego_vehicle,1.5,34.315371724583414,0.0,-0.008128736967234835,0.0,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,2
5,2026-03-28 22:18:20.507840,1774707500.5078638,1774707500.5078673,0.31778597831726074,0.05,1,1,1774707500.4984663,1774707500.4979205,0.009401082992553711,0.009943246841430664,1774707500.4805138,1774707500.5027938,0.027353525161743164,0.0050699710845947266,25664,1774707500.4984663,ego_vehicle/odometry,ego_vehicle,5.897031224727918,1.0225382160311913,0.30120614171028137,-0.06350938145068648,0.03150957191025738,0.997441803795046,0.009140754228650612,0.06224288791418074,0.1276159733533859,3.1272430419921875,0.00040435791015625,0.0,0.0,-0.002575546968728304,0.0027923607267439365,0.002925376407802105,-0.23673655092716217,0.27768605947494507,9.779396057128906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091552734375,0.091552734375,0.091552734375,0.091552734375,1,0,0,0,1,1,0.0,0.0,-0.0339186086023382,0.00023397588724805019,1.4995956420898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,0.0,0.001,0.08,0.11,9.96,0.0,0.0,0.0,-0.00024913373636081815,-0.0013190971221774817,4564,1774707500.4805138,ego_vehicle,1.5,29.97497937644753,0.0,-0.007696378832824121,0.0,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,2
6,2026-03-28 22:18:20.558110,1774707500.5581257,1774707500.558129,0.36804795265197754,0.05,1,1,1774707500.5580888,1774707500.5579586,4.029273986816406e-05,0.0001671314239501953,1774707500.53183,1774707500.5546055,0.026298999786376953,0.0035202503204345703,25670,1774707500.5580888,ego_vehicle/odometry,ego_vehicle,5.903216072004625,1.0186754516517806,0.3606231212615967,-0.06345866849655975,0.03155512543503564,0.9974438640913099,0.009110951543034125,0.0623387508094311,0.12751318514347074,3.127305746078491,0.0,0.0,0.0,0.004916802514344454,-0.0035939353983849287,-0.0026828835252672434,-0.24570131301879883,0.21473969519138336,9.753555297851562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0.0,-0.03770967220538975,0.00020512723917676112,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,0.0,0.001,0.1,0.24,9.99,0.0,0.0,0.0,-0.00010510329593671486,0.00044469465501606464,4565,1774707500.53183,ego_vehicle,1.5,29.230574120434486,0.0,-0.007937282942574632,0.0,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,2
7,2026-03-28 22:18:20.607832,1774707500.6078436,1774707500.6078477,0.41776585578918457,0.05,1,1,1774707500.5978413,1774707500.5982778,0.010006427764892578,0.00956583023071289,1774707500.5805244,1774707500.604545,0.027323246002197266,0.003298521041870117,25674,1774707500.5978413,ego_vehicle/odometry,ego_vehicle,5.901151211255452,1.0192947961376617,0.3436230421066284,-0.06338152376539297,0.03161718287499424,0.9974461194440136,0.00918558644314665,0.062454618513584144,0.1273642182350159,3.1271588802337646,0.0,0.0,0.0,-0.0015035835094749928,0.0025176838971674442,0.0018512241076678038,-0.24455875158309937,0.28192704916000366,9.772747993469238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0.0,-0.03707641499273212,0.0002675929069013705,1.4991912841796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,0.001,0.0,-0.0,0.07,0.11,9.98,0.0,0.0,0.0,-0.00048742981743998826,-0.0031123808585107327,4566,1774707500.5805244,ego_vehicle,1.5,30.787791595826388,0.0,-0.007004701633711577,0.0,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,2
8,2026-03-28 22:18:20.657806,1774707500.6578262,1774707500.6578302,0.46774840354919434,0.05,1,1,1774707500.6177185,1774707500.6480882,0.04011178016662598,0.009737968444824219,1774707500.5805244,1774707500.604545,0.07730579376220703,0.05328106880187988,25679,1774707500.6177185,ego_vehicle/odometry,ego_vehicle,5.900102340642253,1.0196164930930538,0.3350517749786377,-0.06340668126243064,0.03159588056035118,0.9974453820146592,0.009165315080847657,0.062414165586233146,0.12741303443908694,3.1271984577178955,-0.0008087158203125,0.0,0.0,0.0038478171918541193,-0.0017344995867460966,-0.00321619538590312,-0.261922150850296,0.20996041595935822,9.763154983520508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18310546875,-0.18310546875,-0.18310546875,-0.18310546875,1,0,0,0,1,1,0.0,0.0,-0.03678190557599031,0.00016030454630566737,1.5008087158203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,0.0,-0.001,0.09,0.19,10.03,0.0,0.0,0.0,-0.000274179270491004,-0.00010473188740434125,4566,1774707500.5805244,ego_vehicle,1.5,30.787791595826388,0.0,-0.007004701633711577,0.0,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,2
9,2026-03-28 22:18:20.708200,1774707500.7082202,1774707500.708224,0.5181424617767334,0.05,1,1,1774707500.6972277,1774707500.708005,0.010996341705322266,0.00021529197692871094,1774707500.6307764,1774707500.660831,0.07744765281677246,0.04738926887512207,25685,1774707500.6972277,ego_vehicle/odometry,ego_vehicle,5.905437248397892,1.0195939929036866,0.34598326683044434,-0.06339854914279308,0.03155143999021949,0.9974463835942361,0.009265120393841688,0.062311958521604545,0.12740233540534973,3.1269915103912354,0.00040435791015625,0.0,0.0,-0.0017712514381855726,0.0025264746509492397,0.0010588180739432573,-0.2409311681985855,0.2920694947242737,9.768584251403809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091552734375,0.091552734375,0.091552734375,0.091552734375,1,0,0,0,1,1,0.0,0.0,-0.03666459918880963,0.00011643552775097987,1.4995956420898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,0.0,0.001,0.08,0.11,9.98,0.0,0.0,0.0,-0.0001156693761004135,0.0011768621625378728,4567,1774707500.6307764,ego_vehicle,1.5,29.849502984880647,0.0,-0.00837715315196091,0.0,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,2
