record_seq,record_wall_time_iso,record_wall_time_float,record_ros_time,record_dt_since_start,record_period,state_received,control_received,state_msg_ros_time,state_msg_wall_time,state_msg_age_ros,state_msg_age_wall,control_msg_ros_time,control_msg_wall_time,control_msg_age_ros,control_msg_age_wall,header_seq,header_stamp,header_frame_id,child_frame_id,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w,euler_roll,euler_pitch,euler_yaw,vel_linear_x,vel_linear_y,vel_linear_z,vel_angular_x,vel_angular_y,vel_angular_z,acc_linear_x,acc_linear_y,acc_linear_z,acc_angular_x,acc_angular_y,acc_angular_z,lateral_steering_angle,lateral_steering_angle_velocity,lateral_rear_wheel_angle,lateral_rear_wheel_angle_velocity,wheel_speed_left_front,wheel_speed_left_rear,wheel_speed_right_front,wheel_speed_right_rear,gear,control_mode,hand_brake,emergency,clutch,steering_mode,throttle_fb,brake_fb,tracking_lateral_tracking_error,tracking_heading_angle_error,tracking_velocity_error,trailer_pose_position_x,trailer_pose_position_y,trailer_pose_position_z,trailer_pose_orientation_x,trailer_pose_orientation_y,trailer_pose_orientation_z,trailer_pose_orientation_w,trailer_euler_roll,trailer_euler_pitch,trailer_euler_yaw,trailer_vel_linear_x,trailer_vel_linear_y,trailer_vel_linear_z,trailer_vel_angular_x,trailer_vel_angular_y,trailer_vel_angular_z,trailer_acc_linear_x,trailer_acc_linear_y,trailer_acc_linear_z,trailer_acc_angular_x,trailer_acc_angular_y,trailer_acc_angular_z,ltr_state_ltr,ltr_state_ltr_rate,control_header_seq,control_header_stamp,control_header_frame_id,control_longitudinal_velocity,control_longitudinal_acceleration,control_longitudinal_jerk,control_lateral_steering_angle,control_lateral_steering_angle_velocity,control_lateral_rear_wheel_angle,control_lateral_rear_wheel_angle_velocity,control_throttle,control_brake,control_gear,control_control_mode,control_emergency,control_hand_brake,control_clutch,control_steering_mode
0,2026-03-28 22:56:54.847132,1774709814.8471417,1774709814.8471441,0.06515860557556152,0.05,1,0,1774709814.8430777,1774709814.844664,0.00406646728515625,0.0024776458740234375,0.0,0.0,-1.0,-1.0,257078,1774709814.8430777,ego_vehicle/odometry,ego_vehicle,5.885357280850578,0.9550730159012029,0.268660306930542,-0.06225071542879885,0.02860758970321607,0.9975626626205655,0.013235874936817556,0.05589479580521584,0.1252827495336533,3.1185646057128906,0.0,0.0,0.0,0.0026221112348139286,-0.0020484738051891327,-0.00187534443102777,-0.2681982219219208,0.1462562382221222,9.760396957397461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0.0,-0.09853991910341126,-0.008405664451625494,1.4987869262695312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,0.001,0.0,-0.001,0.08,0.16,10.0,0.0,0.0,0.0,-0.0005244142957963049,-0.001239453675225377,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1,2026-03-28 22:56:54.896638,1774709814.8966503,1774709814.8966544,0.11466717720031738,0.05,1,1,1774709814.8430777,1774709814.891501,0.05357670783996582,0.005149364471435547,1774709814.8609662,1774709814.862997,0.035688161849975586,0.03365325927734375,257083,1774709814.8430777,ego_vehicle/odometry,ego_vehicle,5.885357280850578,0.9550730159012029,0.268660306930542,-0.06225071542879885,0.02860758970321607,0.9975626626205655,0.013235874936817556,0.05589479580521584,0.1252827495336533,3.1185646057128906,-0.00040435791015625,0.0,0.0,0.0002133538364432752,0.0006071554380469024,0.0002571037330199033,-0.23526760935783386,0.23682107031345367,9.801219940185547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.091552734375,-0.091552734375,-0.091552734375,-0.091552734375,1,0,0,0,1,1,0.0,0.0,-0.0989432212247331,-0.00847361374666944,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,0.001,0.0,-0.0,0.09,0.26,10.0,0.0,0.0,0.0,-0.0005397311761043966,-0.0012083655456081033,9634,1774709814.8609662,ego_vehicle,1.5,30.020125492129925,0.0,-0.07177975794510025,-1.4365582275377462,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,1
2,2026-03-28 22:56:54.946763,1774709814.9467802,1774709814.9467852,0.16479706764221191,0.05,1,1,1774709814.9425595,1774709814.9430273,0.004225730895996094,0.0037529468536376953,1774709814.9134736,1774709814.914294,0.03331160545349121,0.0324862003326416,257088,1774709814.9425595,ego_vehicle/odometry,ego_vehicle,5.8844735643985695,0.9561533912701494,0.2696448564529419,-0.06214443339983202,0.028679269439147632,0.9975648032571433,0.013417607997994527,0.05601790547370909,0.12508171796798703,3.1182024478912354,0.0,0.0,0.0,0.0034214002080261707,-0.0020494204945862293,-0.0016095235478132963,-0.25858280062675476,0.1546453833580017,9.74477767944336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.091552734375,-0.091552734375,-0.091552734375,-0.091552734375,1,0,0,0,1,1,0.0,0.0,-0.0989432212247331,-0.00847361374666944,1.5004043579101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,0.0,-0.002,0.07,0.15,10.02,0.0,0.0,0.0,-0.0005489310133270919,-4.401452770252945e-06,9635,1774709814.9134736,ego_vehicle,1.5,28.559690079799076,0.0,-0.0717450606053969,-1.3663794679951309,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,1
3,2026-03-28 22:56:54.996948,1774709814.996966,1774709814.9969695,0.2149827480316162,0.05,1,1,1774709814.962455,1774709814.991387,0.034514427185058594,0.0055789947509765625,1774709814.9614959,1774709814.9624536,0.03547358512878418,0.03451228141784668,257093,1774709814.962455,ego_vehicle/odometry,ego_vehicle,5.885274220820179,0.9558167198469367,0.27029484510421753,-0.062172558850855694,0.028649422888090352,0.9975639680875634,0.01341316769115249,0.05595793202519417,0.12513710558414462,3.11820912361145,0.00040435791015625,0.0,0.0,0.00047130946768447757,0.0022068119142204523,0.0015948691871017218,-0.2436455339193344,0.23019886016845703,9.791633605957031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091552734375,0.091552734375,0.091552734375,0.091552734375,1,0,0,0,1,1,0.0,0.0,-0.09776719129132155,-0.008835771568324713,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,0.002,-0.001,-0.0,0.11,0.26,9.99,0.0,0.0,0.0,-0.00079826993169263,-0.002971363253891468,9636,1774709814.9614959,ego_vehicle,1.5,31.227004575861532,0.0,-0.07078778392706794,-1.4740576663220346,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,1
4,2026-03-28 22:56:55.046640,1774709815.0466578,1774709815.0466616,0.26467466354370117,0.05,1,1,1774709815.0320928,1774709815.0414715,0.014568805694580078,0.005186319351196289,1774709815.0109346,1774709815.0118527,0.03572702407836914,0.0348050594329834,257098,1774709815.0320928,ego_vehicle/odometry,ego_vehicle,5.886152970429772,0.9562212979343612,0.27139073610305786,-0.06213162259592793,0.028535716105844124,0.9975684679463213,0.013510223504935939,0.0557175651192665,0.12505786120891574,3.117997407913208,0.00040435791015625,0.0,0.0,0.003951590973883867,-0.00151521572843194,-0.001340573187917471,-0.2651894986629486,0.1672251969575882,9.75260066986084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091552734375,0.091552734375,0.091552734375,0.091552734375,1,0,0,0,1,1,0.0,0.0,-0.09809416557662316,-0.00882909584810987,1.4995956420898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,-0.001,-0.001,0.06,0.14,10.03,0.0,0.0,0.0,-0.0005203312030062079,0.0007105570985004306,9637,1774709815.0109346,ego_vehicle,1.5,30.33243629800406,0.0,-0.07100402696255127,-1.436203910103331,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,1
5,2026-03-28 22:56:55.096647,1774709815.0966723,1774709815.096676,0.31468915939331055,0.05,1,1,1774709815.1015785,1774709815.0916526,-0.004902362823486328,0.005019664764404297,1774709815.0609202,1774709815.061661,0.03575587272644043,0.03501129150390625,257103,1774709815.1015785,ego_vehicle/odometry,ego_vehicle,5.88428242577917,0.9552306024864194,0.27102285623550415,-0.062197928190361206,0.02853255859095791,0.9975649423259478,0.0134720700454229,0.05571490153670311,0.12518846988677979,3.118077278137207,0.0,0.0,0.0,-5.916948430240154e-05,0.002209452446550131,-2.6909110601991415e-06,-0.24123603105545044,0.20141392946243286,9.797652244567871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0.0,-0.09761331652282665,-0.009040811546352057,1.4995956420898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,-0.001,-0.0,0.1,0.25,9.97,0.0,0.0,0.0,-0.0006598084582947195,-0.0002670105022843927,9638,1774709815.0609202,ego_vehicle,1.5,30.008594461453757,0.0,-0.07060619280028599,-1.4125284041406656,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,1
6,2026-03-28 22:56:55.146646,1774709815.14667,1774709815.1466737,0.3646869659423828,0.05,1,1,1774709815.1015785,1774709815.1409442,0.045095205307006836,0.005725860595703125,1774709815.1109364,1774709815.1115148,0.03573727607727051,0.035155296325683594,257108,1774709815.1015785,ego_vehicle/odometry,ego_vehicle,5.88428242577917,0.9552306024864194,0.27102285623550415,-0.062197928190361206,0.02853255859095791,0.9975649423259478,0.0134720700454229,0.05571490153670311,0.12518846988677979,3.118077278137207,-0.00040435791015625,0.0,0.0,0.0028922581113874912,-0.003377108369022608,-0.0021423313301056623,-0.27421870827674866,0.19481581449508667,9.765807151794434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.091552734375,-0.091552734375,-0.091552734375,-0.091552734375,1,0,0,0,1,1,0.0,0.0,-0.09865511723181516,-0.008960941322353033,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,0.0,-0.001,0.06,0.13,10.040000000000001,0.0,0.0,0.0,-0.00027835668879561126,0.0027888589538633823,9639,1774709815.1109364,ego_vehicle,1.5,29.982250162214598,0.0,-0.07131628593785445,-1.425866190601182,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,1
7,2026-03-28 22:56:55.196647,1774709815.196665,1774709815.1966689,0.41468191146850586,0.05,1,1,1774709815.1015785,1774709815.192491,0.09509038925170898,0.004173994064331055,1774709815.160963,1774709815.1617532,0.0357058048248291,0.0349118709564209,257113,1774709815.1015785,ego_vehicle/odometry,ego_vehicle,5.88428242577917,0.9552306024864194,0.27102285623550415,-0.062197928190361206,0.02853255859095791,0.9975649423259478,0.0134720700454229,0.05571490153670311,0.12518846988677979,3.118077278137207,0.0,0.0,0.0,0.00047418707981705666,0.002203779760748148,0.0007925762911327183,-0.2556343078613281,0.1942376047372818,9.779004096984863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0.0,-0.09865511723181516,-0.008960941322353033,1.5004043579101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,0.001,0.0,-0.0,0.1,0.25,9.950000000000001,0.0,0.0,0.0,-0.0005848848377354443,-0.0010103326058015227,9640,1774709815.160963,ego_vehicle,1.5,29.975921886507297,0.0,-0.07131628593785445,-1.4255652367259053,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,1
8,2026-03-28 22:56:55.246706,1774709815.2467253,1774709815.24673,0.46474218368530273,0.05,1,1,1774709815.210613,1774709815.24352,0.0361170768737793,0.0032052993774414062,1774709815.211532,1774709815.2128708,0.03519797325134277,0.03385448455810547,257118,1774709815.210613,ego_vehicle/odometry,ego_vehicle,5.882388576172806,0.9558140832901953,0.2694443464279175,-0.06244597614430312,0.028571665382774655,0.9975492537108165,0.013403224299884872,0.05579816922545433,0.12568239867687228,3.1182339191436768,-0.00040435791015625,0.0,0.0,0.0031526202801615,-0.0020511960610747337,-0.00027784871053881943,-0.25323906540870667,0.19364002346992493,9.785012245178223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.091552734375,-0.091552734375,-0.091552734375,-0.091552734375,1,0,0,0,1,1,0.0,0.0,-0.09791250840392084,-0.008960941322353033,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,-0.001,-0.001,0.06,0.13,10.040000000000001,0.0,0.0,0.0,-0.0008892120677046478,-0.0018124618800356984,9641,1774709815.211532,ego_vehicle,1.5,29.65446343368882,0.0,-0.07094806580823423,-1.4029960905122314,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,1
9,2026-03-28 22:56:55.296669,1774709815.2966976,1774709815.2967017,0.5147144794464111,0.05,1,1,1774709815.2897608,1774709815.2949483,0.0069408416748046875,0.001749277114868164,1774709815.2619069,1774709815.262562,0.03479480743408203,0.03413558006286621,257123,1774709815.2897608,ego_vehicle/odometry,ego_vehicle,5.880411435243604,0.9574533156121912,0.26781705021858215,-0.062487337475126865,0.02862050349048101,0.9975464063918573,0.013317902609366552,0.05590657517313957,0.1257616132497787,3.1184139251708984,-0.00040435791015625,0.0,0.0,0.0015382575802505016,0.0022059190087020397,0.001327485661022365,-0.27003809809684753,0.19242846965789795,9.785626411437988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.091552734375,-0.091552734375,-0.091552734375,-0.091552734375,1,0,0,0,1,1,0.0,0.0,-0.09814627860485442,-0.008804300315883307,1.5004043579101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,-0.001,-0.0,0.1,0.24,9.94,0.0,0.0,0.0,-0.0005001818062737584,0.002297367202118039,9642,1774709815.2619069,ego_vehicle,1.5,29.776764194370088,0.0,-0.07110248382218504,-1.4114679296048118,0.0,0.0,0.1922238098133398,0.0,2,0,0,0,0,1
