record_seq,record_wall_time_iso,record_wall_time_float,record_ros_time,record_dt_since_start,record_period,state_received,control_received,state_msg_ros_time,state_msg_wall_time,state_msg_age_ros,state_msg_age_wall,control_msg_ros_time,control_msg_wall_time,control_msg_age_ros,control_msg_age_wall,header_seq,header_stamp,header_frame_id,child_frame_id,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w,euler_roll,euler_pitch,euler_yaw,vel_linear_x,vel_linear_y,vel_linear_z,vel_angular_x,vel_angular_y,vel_angular_z,acc_linear_x,acc_linear_y,acc_linear_z,acc_angular_x,acc_angular_y,acc_angular_z,lateral_steering_angle,lateral_steering_angle_velocity,lateral_rear_wheel_angle,lateral_rear_wheel_angle_velocity,wheel_speed_left_front,wheel_speed_left_rear,wheel_speed_right_front,wheel_speed_right_rear,gear,control_mode,hand_brake,emergency,clutch,steering_mode,throttle_fb,brake_fb,tracking_lateral_tracking_error,tracking_heading_angle_error,tracking_velocity_error,trailer_pose_position_x,trailer_pose_position_y,trailer_pose_position_z,trailer_pose_orientation_x,trailer_pose_orientation_y,trailer_pose_orientation_z,trailer_pose_orientation_w,trailer_euler_roll,trailer_euler_pitch,trailer_euler_yaw,trailer_vel_linear_x,trailer_vel_linear_y,trailer_vel_linear_z,trailer_vel_angular_x,trailer_vel_angular_y,trailer_vel_angular_z,trailer_acc_linear_x,trailer_acc_linear_y,trailer_acc_linear_z,trailer_acc_angular_x,trailer_acc_angular_y,trailer_acc_angular_z,ltr_state_ltr,ltr_state_ltr_rate,control_header_seq,control_header_stamp,control_header_frame_id,control_longitudinal_velocity,control_longitudinal_acceleration,control_longitudinal_jerk,control_lateral_steering_angle,control_lateral_steering_angle_velocity,control_lateral_rear_wheel_angle,control_lateral_rear_wheel_angle_velocity,control_throttle,control_brake,control_gear,control_control_mode,control_emergency,control_hand_brake,control_clutch,control_steering_mode
0,2026-03-28 22:53:17.295483,1774709597.2954972,1774709597.2955012,0.09238624572753906,0.05,0,0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1,2026-03-28 22:53:17.344699,1774709597.3447134,1774709597.344717,0.1416025161743164,0.05,1,0,1774709597.317012,1774709597.3411024,0.027704954147338867,0.0036110877990722656,0.0,0.0,-1.0,-1.0,235328,1774709597.317012,ego_vehicle/odometry,ego_vehicle,3.7600196136940354,1.0590899186533127,0.14062291383743286,-0.06207787041143494,0.03038025845335999,0.9975943474823074,0.005375478847290872,0.060451418161392226,0.12450510263442996,3.13458514213562,0.00040435791015625,0.0,0.0,0.0007566452259197831,-0.000986085506156087,-0.002941866172477603,-0.20820242166519165,0.1786450296640396,9.76939582824707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091552734375,0.091552734375,0.091552734375,0.091552734375,1,0,0,0,1,1,0.0,0.0,-0.03315886568149736,0.008702852088514401,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,-0.001,-0.003,0.1,0.19,10.0,0.0,0.0,0.0,-0.0005309921107254922,0.00358977192081511,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2,2026-03-28 22:53:17.395124,1774709597.395142,1774709597.3951466,0.1920311450958252,0.05,1,1,1774709597.3368516,1774709597.3818042,0.05829501152038574,0.013337850570678711,1774709597.3609571,1774709597.3620162,0.034189462661743164,0.033125877380371094,235332,1774709597.3368516,ego_vehicle/odometry,ego_vehicle,3.7597351143092657,1.058393211280965,0.14044122397899628,-0.06208126404376291,0.030345729452616887,0.9975954184220032,0.0053324011613363675,0.06038732081651689,0.12450905144214632,3.1346676349639893,0.00040435791015625,0.0,0.0,0.00047901016660034657,-0.00045159991714172065,0.0010599996894598007,-0.158977672457695,0.18162693083286285,9.770012855529785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091552734375,0.091552734375,0.091552734375,0.091552734375,1,0,0,0,1,1,0.0,0.0,-0.03187986659865237,0.008910991508070065,1.1995956420898437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,0.002,-0.001,-0.0,0.05,0.22,10.01,0.0,0.0,0.0,-0.000788179284427315,-0.0003202166117262095,5284,1774709597.3609571,ego_vehicle,1.2,24.03881063824724,0.0,-0.0325102817518604,-0.6514766137925883,0.0,0.0,0.18082355444761963,0.0,2,0,0,0,0,1
3,2026-03-28 22:53:17.444520,1774709597.4445422,1774709597.444546,0.24143123626708984,0.05,1,1,1774709597.3963728,1774709597.4424994,0.04817318916320801,0.0020427703857421875,1774709597.4110193,1774709597.412174,0.03352665901184082,0.03236818313598633,235338,1774709597.3963728,ego_vehicle/odometry,ego_vehicle,3.762212760398076,1.0588418920365534,0.14108718931674957,-0.062130507762224146,0.030272412456843367,0.9975942931119188,0.005385851815844578,0.060233090072870255,0.12461040169000626,3.134553909301758,0.00040435791015625,0.0,0.0,0.0004869972472079098,0.0003412053338252008,-0.0026759589090943336,-0.20217706263065338,0.15226788818836212,9.74896240234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091552734375,0.091552734375,0.091552734375,0.091552734375,1,0,0,0,1,1,0.0,0.0,-0.03180760881337936,0.008993484336439206,1.1995956420898437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.001,0.0,-0.002,0.1,0.16,9.94,0.0,0.0,0.0,-8.776503091212362e-05,0.006457151845097542,5285,1774709597.4110193,ego_vehicle,1.2,23.970225145133718,0.0,-0.03268616445083049,-0.652912267514394,0.0,0.0,0.18082355444761963,0.0,2,0,0,0,0,1
4,2026-03-28 22:53:17.494646,1774709597.49467,1774709597.4946733,0.29155898094177246,0.05,1,1,1774709597.4957025,1774709597.4935527,-0.0010292530059814453,0.0011172294616699219,1774709597.460957,1774709597.4618073,0.03371620178222656,0.03286266326904297,235343,1774709597.4957025,ego_vehicle/odometry,ego_vehicle,3.7608404285936423,1.0557880599629326,0.1401107758283615,-0.06207519713674067,0.03020788372373099,0.9975997300428824,0.00537887346352022,0.06010406836867334,0.12449873983860016,3.134556531906128,0.0,0.0,0.0,0.0031428183428943157,-0.0007264725863933563,0.0034520188346505165,-0.17825910449028015,0.21945084631443024,9.811419486999512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0.0,-0.033214196968110565,0.00887975867420776,1.1995956420898437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,0.0,-0.001,0.08,0.22,9.98,0.0,0.0,0.0,-4.936783079756424e-05,0.004469898995012045,5286,1774709597.460957,ego_vehicle,1.2,24.021834919809685,0.0,-0.03350992195671381,-0.671034292870161,0.0,0.0,0.18082355444761963,0.0,2,0,0,0,0,1
5,2026-03-28 22:53:17.545427,1774709597.5454633,1774709597.5454686,0.34235239028930664,0.05,1,1,1774709597.5554178,1774709597.5426805,-0.009949207305908203,0.0027828216552734375,1774709597.5118241,1774709597.5125418,0.03364443778991699,0.032921552658081055,235348,1774709597.5554178,ego_vehicle/odometry,ego_vehicle,3.7577899601852884,1.0521532968577312,0.1373889446258545,-0.06206968572129177,0.03026524233118394,0.9975984398961946,0.00535928519239492,0.060221958905458464,0.12448692321777345,3.1346027851104736,0.0,0.0,0.0,0.001559385797008872,-0.0007227860041894019,-0.0042768726125359535,-0.20701134204864502,0.1654702126979828,9.77599048614502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0.0,-0.03515961029473028,0.008882381278577878,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,0.0,-0.002,0.09,0.16,9.91,0.0,0.0,0.0,-2.0827053958782926e-05,0.002511912025511265,5287,1774709597.5118241,ego_vehicle,1.2,23.59093321799988,0.0,-0.03513297794505609,-0.6906831137094008,0.0,0.0,0.18082355444761963,0.0,2,0,0,0,0,1
6,2026-03-28 22:53:17.594484,1774709597.594499,1774709597.5945022,0.3913881778717041,0.05,1,1,1774709597.6051834,1774709597.5922034,-0.01068115234375,0.0022957324981689453,1774709597.5613976,1774709597.5628555,0.033104658126831055,0.03164362907409668,235353,1774709597.6051834,ego_vehicle/odometry,ego_vehicle,3.75710413107176,1.0505530071606919,0.13685856759548187,-0.0620715610403248,0.03024321282336385,0.997599127368754,0.005333897377947902,0.06018080189824105,0.12448899447917938,3.1346511840820312,-0.00040435791015625,0.0,0.0,0.004214799497276545,-0.0009987074881792068,0.0021135807037353516,-0.18418513238430023,0.14570997655391693,9.743515968322754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.091552734375,-0.091552734375,-0.091552734375,-0.091552734375,1,0,0,0,1,1,0.0,0.0,-0.03919280534177731,0.00892863448292358,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,0.001,0.0,-0.0,0.06,0.21,10.0,0.0,0.0,0.0,-0.0004400244215503335,-0.0020740781910717487,5288,1774709597.5613976,ego_vehicle,1.2,24.198333336557713,0.0,-0.038338586391577396,-0.7733688424706054,0.0,0.0,0.18082355444761963,0.0,2,0,0,0,0,1
7,2026-03-28 22:53:17.645122,1774709597.6451726,1774709597.6451776,0.4420616626739502,0.05,1,1,1774709597.6549504,1774709597.6413672,-0.009772777557373047,0.003805398941040039,1774709597.6125474,1774709597.6134233,0.032630205154418945,0.03174924850463867,235358,1774709597.6549504,ego_vehicle/odometry,ego_vehicle,3.757684338254782,1.0546551422262713,0.1401970088481903,-0.06211696633278508,0.030313713144561112,0.9975939982957733,0.005364312933940142,0.06031890586018563,0.12458226829767226,3.134601593017578,0.0,0.0,0.0,-4.224770236760378e-05,-0.0004548888246063143,-0.0037417481653392315,-0.20698684453964233,0.17025044560432434,9.754373550415039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0.0,-0.04048207025552797,0.008977033454481198,1.2004043579101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,0.0,-0.002,0.09,0.15,9.93,0.0,0.0,0.0,-0.00032330609974451363,0.00026694891857914627,5289,1774709597.6125474,ego_vehicle,1.2,23.46046100978907,0.0,-0.03937015132782294,-0.7697015834799046,0.0,0.0,0.18082355444761963,0.0,2,0,0,0,0,1
8,2026-03-28 22:53:17.694733,1774709597.6947484,1774709597.6947527,0.4916374683380127,0.05,1,1,1774709597.704719,1774709597.6914914,-0.009966373443603516,0.0032570362091064453,1774709597.6609545,1774709597.6621873,0.0337982177734375,0.03256106376647949,235363,1774709597.704719,ego_vehicle/odometry,ego_vehicle,3.7578572155807484,1.0554374420234933,0.14071063697338104,-0.06232211250467027,0.030165800691708527,0.9975854311695871,0.005411679939946683,0.06001535430550575,0.12499498575925827,3.134500026702881,0.0,0.0,0.0,0.0015405678423121572,7.124611875042319e-05,0.0039859735406935215,-0.1710432916879654,0.1954696923494339,9.804207801818848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0.0,-0.03635631407049088,0.008927442390028073,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,-0.001,-0.0,0.06,0.22,10.0,0.0,0.0,0.0,-0.0003654207685030997,6.784247671021149e-05,5290,1774709597.6609545,ego_vehicle,1.2,24.78978161896362,0.0,-0.03609007540008514,-0.7455542398167013,0.0,0.0,0.18082355444761963,0.0,2,0,0,0,0,1
9,2026-03-28 22:53:17.744444,1774709597.74446,1774709597.744464,0.5413491725921631,0.05,1,1,1774709597.7644455,1774709597.7411888,-0.01998162269592285,0.003271341323852539,1774709597.7156358,1774709597.716511,0.028828144073486328,0.027949094772338867,235368,1774709597.7644455,ego_vehicle/odometry,ego_vehicle,3.758396734303168,1.057942626176739,0.13916243612766266,-0.0622830014276504,0.030228822991038524,0.9975856209479091,0.005474931206329277,0.06013423576951027,0.12492090463638306,3.134378433227539,0.0,0.0,0.0,0.0018242158694192767,7.239615661092103e-05,-0.0040116580203175545,-0.19439709186553955,0.1714690625667572,9.758560180664062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0.0,-0.03554088399970304,0.008825876075330807,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.1415926,0.0,0.0,0.0,-0.0,0.0,-0.002,0.07,0.15,9.96,0.0,0.0,0.0,-0.0003836132527794689,0.001168275368399918,5291,1774709597.7156358,ego_vehicle,1.2,21.945380836572912,0.0,-0.035377681466795693,-0.6469805774198324,0.0,0.0,0.18082355444761963,0.0,2,0,0,0,0,1
